FP,MM,lnPvap,Method
354.15,172.2646,3.074711308,0
335.18,162.4503,4.682051173,0
327.18,152.636,5.26960445,0
320.52,133.0074,5.905455904,0
316.18,113.3788,6.291068947,0
314.18,93.7502,6.568675215,0
311.85,74.1216,6.785724191,0
378.25,200.3178,0.81831536,0
341.22,187.69818,4.505925325,0
328.18,175.07856,5.186477643,0
320.18,149.83932,5.873267402,0
317.52,124.60008,6.276604357,0
314.52,99.36084,6.563220651,0
311.85,74.1216,6.785724191,0
401.95,228.3709,-1.450632653,0
339.62,212.94597,4.485519888,0
327.88,197.52104,5.177345107,0
319.18,166.67118,5.869830651,0
316.52,135.82132,6.275075116,0
312.85,104.97146,6.562646849,0
311.85,74.1216,6.785724191,0
440.85,256.4241,-3.732134391,0
350.35,238.19385,4.483382509,0
333.85,219.9636,5.176394468,0
320.52,183.5031,5.869474031,0
317.18,147.0426,6.274916599,0
313.82,110.5821,6.562587401,0
311.85,74.1216,6.785724191,0
423.52,284.4772,-6.026188151,0
344.78,263.44164,4.48316365,0
329.42,242.40608,5.17629719,0
320.18,200.33496,5.869437551,0
316.85,158.26384,6.274900385,0
314.18,116.19272,6.562581321,0
311.85,74.1216,6.785724191,0
