FP,MM,lnPvap,Method,NC,C=C,s,System
374.7,186.29,1.83,0,11,0,407.7,Methyl Decanoate
370.6,183.49,2.44,0,10,0,750.2,Methyl Octanoate + Methyl Decanoate
365.6,180.68,2.82,0,10,0,750.2,Methyl Octanoate + Methyl Decanoate
360.6,175.07,3.31,0,10,0,750.2,Methyl Octanoate + Methyl Decanoate
354.6,169.46,3.64,0,10,0,750.2,Methyl Octanoate + Methyl Decanoate
351.3,163.85,3.88,0,10,0,750.2,Methyl Octanoate + Methyl Decanoate
348.6,158.24,4.08,0,9,0,342.5,Methyl Octanoate
398.4,214.34,-0.43,0,13,0,472.9,Methyl Laurate
384.6,208.73,1.87,0,11,0,815.4,Methyl Octanoate + Methyl Laurate
376.3,203.12,2.51,0,11,0,815.4,Methyl Octanoate + Methyl Laurate
364.6,191.9,3.18,0,11,0,815.4,Methyl Octanoate + Methyl Laurate
357.6,180.68,3.57,0,11,0,815.4,Methyl Octanoate + Methyl Laurate
351.9,169.46,3.86,0,11,0,815.4,Methyl Octanoate + Methyl Laurate
419.7,242.4,-2.71,0,15,0,538.1,Methyl Myristate
393.5,233.98,1.79,0,12,0,880.6,Methyl Octanoate + Methyl Myristate
380.1,225.57,2.47,0,12,0,880.6,Methyl Octanoate + Methyl Myristate
366.7,208.73,3.16,0,12,0,880.6,Methyl Octanoate + Methyl Myristate
357.7,191.9,3.57,0,12,0,880.6,Methyl Octanoate + Methyl Myristate
352.7,175.07,3.86,0,12,0,880.6,Methyl Octanoate + Methyl Myristate
440.3,270.45,-5,0,17,0,603.3,Methyl Palmitate
396.9,259.23,1.78,0,13,0,945.8,Methyl Octanoate + Methyl Palmitate
382.6,248.01,2.47,0,13,0,945.8,Methyl Octanoate + Methyl Palmitate
366.9,225.57,3.16,0,13,0,945.8,Methyl Octanoate + Methyl Palmitate
358.3,203.12,3.57,0,13,0,945.8,Methyl Octanoate + Methyl Palmitate
352.6,180.68,3.86,0,13,0,945.8,Methyl Octanoate + Methyl Palmitate
455.5,298.5,-7.3,0,19,0,668.5,Methyl Stearate
401.3,284.48,1.78,0,14,0,1011,Methyl Octanoate + Methyl Stearate
385.5,270.45,2.47,0,14,0,1011,Methyl Octanoate + Methyl Stearate
367.5,242.4,3.16,0,14,0,1011,Methyl Octanoate + Methyl Stearate
357.3,214.34,3.57,0,14,0,1011,Methyl Octanoate + Methyl Stearate
352,186.29,3.86,0,14,0,1011,Methyl Octanoate + Methyl Stearate
445.8,296.49,-6.92,0,19,1,637.3,Methyl Oleate
400.4,282.66,1.78,0,14,1,979.8,Methyl Octanoate + Methyl Oleate
383.1,268.84,2.47,0,14,1,979.8,Methyl Octanoate + Methyl Oleate
367.8,241.19,3.16,0,14,1,979.8,Methyl Octanoate + Methyl Oleate
358.5,213.54,3.57,0,14,1,979.8,Methyl Octanoate + Methyl Oleate
353.5,185.89,3.86,0,14,1,979.8,Methyl Octanoate + Methyl Oleate
393.7,211.54,0.19,0,12,0,880.6,Methyl Decanoate + Methyl Laurate
390.7,208.73,0.57,0,12,0,880.6,Methyl Decanoate + Methyl Laurate
385.4,203.12,1.06,0,12,0,880.6,Methyl Decanoate + Methyl Laurate
380.7,197.51,1.38,0,12,0,880.6,Methyl Decanoate + Methyl Laurate
377.4,191.9,1.63,0,12,0,880.6,Methyl Decanoate + Methyl Laurate
407.9,236.79,-0.38,0,13,0,945.8,Methyl Decanoate + Methyl Myristate
400.3,231.18,0.26,0,13,0,945.8,Methyl Decanoate + Methyl Myristate
389.9,219.95,0.93,0,13,0,945.8,Methyl Decanoate + Methyl Myristate
383.6,208.73,1.32,0,13,0,945.8,Methyl Decanoate + Methyl Myristate
377.6,197.51,1.61,0,13,0,945.8,Methyl Decanoate + Methyl Myristate
418,262.03,-0.46,0,14,0,1011,Methyl Decanoate + Methyl Palmitate
405,253.62,0.22,0,14,0,1011,Methyl Decanoate + Methyl Palmitate
391.4,236.79,0.91,0,14,0,1011,Methyl Decanoate + Methyl Palmitate
384,219.96,1.32,0,14,0,1011,Methyl Decanoate + Methyl Palmitate
379.3,203.12,1.61,0,14,0,1011,Methyl Decanoate + Methyl Palmitate
426.9,287.28,-0.47,0,15,0,1076.2,Methyl Decanoate + Methyl Stearate
408.6,276.06,0.22,0,15,0,1076.2,Methyl Decanoate + Methyl Stearate
393.7,253.62,0.91,0,15,0,1076.2,Methyl Decanoate + Methyl Stearate
384.1,231.18,1.32,0,15,0,1076.2,Methyl Decanoate + Methyl Stearate
378.1,208.73,1.6,0,15,0,1076.2,Methyl Decanoate + Methyl Stearate
418.2,285.47,-0.47,0,15,1,1045,Methyl Decanoate + Methyl Oleate
407.8,274.45,0.22,0,15,1,1045,Methyl Decanoate + Methyl Oleate
392.8,252.41,0.91,0,15,1,1045,Methyl Decanoate + Methyl Oleate
385.4,230.37,1.32,0,15,1,1045,Methyl Decanoate + Methyl Oleate
379.1,208.33,1.6,0,15,1,1045,Methyl Decanoate + Methyl Oleate
415.9,239.59,-2.08,0,14,0,1011,Methyl Laurate + Methyl Myristate
412.3,236.79,-1.7,0,14,0,1011,Methyl Laurate + Methyl Myristate
407.6,231.18,-1.21,0,14,0,1011,Methyl Laurate + Methyl Myristate
403.3,225.57,-0.88,0,14,0,1011,Methyl Laurate + Methyl Myristate
400.6,219.95,-0.63,0,14,0,1011,Methyl Laurate + Methyl Myristate
431.7,264.84,-2.65,0,15,0,1076.2,Methyl Laurate + Methyl Palmitate
422.9,259.23,-2,0,15,0,1076.2,Methyl Laurate + Methyl Palmitate
413.9,248.01,-1.34,0,15,0,1076.2,Methyl Laurate + Methyl Palmitate
406.6,236.79,-0.94,0,15,0,1076.2,Methyl Laurate + Methyl Palmitate
402.3,225.57,-0.66,0,15,0,1076.2,Methyl Laurate + Methyl Palmitate
438.4,290.09,-2.73,0,16,0,1141.4,Methyl Laurate + Methyl Stearate
427.3,281.67,-2.04,0,16,0,1141.4,Methyl Laurate + Methyl Stearate
415.5,264.84,-1.35,0,16,0,1141.4,Methyl Laurate + Methyl Stearate
407.1,248.01,-0.94,0,16,0,1141.4,Methyl Laurate + Methyl Stearate
402.8,231.18,-0.66,0,16,0,1141.4,Methyl Laurate + Methyl Stearate
434.2,288.27,-2.72,0,16,1,1110.2,Methyl Laurate + Methyl Oleate
425.2,280.06,-2.04,0,16,1,1110.2,Methyl Laurate + Methyl Oleate
415.2,263.63,-1.35,0,16,1,1110.2,Methyl Laurate + Methyl Oleate
406.9,247.2,-0.94,0,16,1,1110.2,Methyl Laurate + Methyl Oleate
401.9,230.77,-0.66,0,16,1,1110.2,Methyl Laurate + Methyl Oleate
437.3,267.65,-4.36,0,16,0,1141.4,Methyl Myristate + Methyl Palmitate
434.9,264.84,-3.98,0,16,0,1141.4,Methyl Myristate + Methyl Palmitate
429.6,259.23,-3.48,0,16,0,1141.4,Methyl Myristate + Methyl Palmitate
425.9,253.62,-3.16,0,16,0,1141.4,Methyl Myristate + Methyl Palmitate
422.3,248.01,-2.91,0,16,0,1141.4,Methyl Myristate + Methyl Palmitate
447.4,292.89,-4.92,0,17,0,1206.6,Methyl Myristate + Methyl Stearate
442.4,287.28,-4.28,0,17,0,1206.6,Methyl Myristate + Methyl Stearate
435,276.06,-3.61,0,17,0,1206.6,Methyl Myristate + Methyl Stearate
429.4,264.84,-3.21,0,17,0,1206.6,Methyl Myristate + Methyl Stearate
423.4,253.62,-2.93,0,17,0,1206.6,Methyl Myristate + Methyl Stearate
442.5,291.08,-4.89,0,17,1,1175.4,Methyl Myristate + Methyl Oleate
436.8,285.67,-4.26,0,17,1,1175.4,Methyl Myristate + Methyl Oleate
432.8,274.85,-3.6,0,17,1,1175.4,Methyl Myristate + Methyl Oleate
426.2,264.03,-3.21,0,17,1,1175.4,Methyl Myristate + Methyl Oleate
423.2,253.22,-2.93,0,17,1,1175.4,Methyl Myristate + Methyl Oleate
454.4,295.7,-6.66,0,18,0,1271.9,Methyl Palmitate + Methyl Stearate
